Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/R52.sam
AT1G05170	445
AT1G05180	947.50
AT1G05190	8741.83
AT1G05200	839
AT1G05205	175
AT1G05210	115.50
AT1G05220	57.50
AT1G05230	533.50
AT1G05240	0
AT1G05250	0
AT1G05260	43
AT1G05270	667
AT1G05280	0
AT1G05290	0
AT1G05291	0
AT1G05300	192
AT1G05310	56
AT1G05320	427
AT1G05330	1
AT1G05340	345.83
AT1G05350	868.50
AT1G05360	238
AT1G05370	22
AT1G05380	668.50
AT1G05385	341.50
AT1G05390	0
AT1G05400	16.50
AT1G05410	224.50
AT1G05420	8
AT1G05430	523.67
AT1G05440	24
AT1G05450	3
AT1G05460	233.50
AT1G05470	126
AT1G05490	14.50
AT1G05500	921.50
AT1G05510	6
AT1G05520	915.83
AT1G05530	0
AT1G05540	108
AT1G05550	9
AT1G05560	444.33
AT1G05562	412.83
AT1G05570	2644.00
AT1G05575	80
AT1G05577	0
AT1G05580	0
AT1G05590	296
AT1G05600	100.50
AT1G05610	4.50
AT1G05615	0
AT1G05620	238.50
AT1G05630	1146
AT1G05640	99
AT1G05650	0
AT1G05660	0
AT1G05670	143
AT1G05675	80
AT1G05680	5
AT1G05690	121.50
AT1G05700	0
AT1G05710	290
AT1G05720	410.67
AT1G05730	166.67
AT1G05740	1
AT1G05750	135.25
AT1G05760	24
AT1G05770	10
AT1G05780	83
AT1G05785	128.50
AT1G05790	481
AT1G05800	0
AT1G05805	704.25
AT1G05810	232.50
AT1G05820	36.50
AT1G05830	460
AT1G05835	115.50
AT1G05840	572.50
AT1G05850	10780.50
AT1G05860	194
AT1G05870	307.67
AT1G05880	91
AT1G05890	1177.50
AT1G05894	1
AT1G05900	343.33
AT1G05910	663.50
AT1G05920	0
AT1G05925	0
AT1G05930	1
AT1G05940	1055.50
AT1G05950	136
AT1G05960	1092.33
AT1G05970	94
AT1G05980	0
AT1G05990	0
AT1G06000	1195.08
AT1G06002	697.58
AT1G06010	181
AT1G06020	11
AT1G06030	0
AT1G06040	1455.50
AT1G06050	137.50
AT1G06060	349.50
AT1G06070	393
AT1G06080	72
AT1G06090	19
AT1G06100	135
AT1G06110	665
AT1G06120	0
AT1G06130	937.00
AT1G06135	4.50
AT1G06137	0
AT1G06140	20
AT1G06148	6
AT1G06149	347
AT1G06150	420
AT1G06160	78
AT1G06170	3.50
AT1G06180	170
AT1G06190	1541
AT1G06200	731.50
AT1G06210	519.50
AT1G06220	1335.75
AT1G06225	0
AT1G06230	910.83
AT1G06240	410
AT1G06250	36.50
AT1G06260	16.50
AT1G06265	38.33
AT1G06270	71
AT1G06280	0
AT1G06290	1627
AT1G06310	0
AT1G06320	0
AT1G06330	0
AT1G06340	2
AT1G06350	33
AT1G06360	945.50
AT1G06380	122
AT1G06390	1488.50
AT1G06400	863.83
AT1G06410	2227.33
AT1G06420	13
AT1G06430	3206.58
AT1G06440	48
AT1G06450	222
AT1G06460	3758
AT1G06470	694
AT1G06475	62
AT1G06480	0
AT1G06490	47
AT1G06500	118.50
AT1G06510	673
AT1G06515	293
AT1G06520	4
AT1G06530	1018.50
AT1G06540	3
AT1G06550	483
AT1G06560	259
AT1G06570	510.50
AT1G06580	50
AT1G06590	144.50
AT1G06610	0
AT1G06620	320
AT1G06630	350
AT1G06640	1592.33
AT1G06645	391.83
AT1G06650	2025.83
AT1G06660	71.50
AT1G06670	664.50
AT1G06680	46558.69
AT1G06690	1012.00
AT1G06700	1278.50
AT1G06710	126
AT1G06720	429.00
AT1G06730	266.50
AT1G06750	38
AT1G06760	3253.83
AT1G06770	163
AT1G06780	278.50
AT1G06790	234
AT1G06800	289
AT1G06810	0
AT1G06820	752.50
AT1G06830	83.50
AT1G06840	426
AT1G06850	208
AT1G06860	0
AT1G06870	515
AT1G06880	0
AT1G06890	1645.50
AT1G06900	776
AT1G06910	126.50
AT1G06920	0
AT1G06923	0
AT1G06925	0
AT1G06930	0
AT1G06950	4265
AT1G06960	304
AT1G06970	1
AT1G06980	34.50
AT1G06990	0
AT1G07000	1851
AT1G07010	1128.00
AT1G07020	299
AT1G07025	0
AT1G07030	612
AT1G07040	740.83
AT1G07050	774
AT1G07051	0
AT1G07060	1
AT1G07070	190.83
AT1G07080	1776
AT1G07090	273.50
AT1G07100	0
AT1G07110	2474.00
AT1G07119	18.75
AT1G07120	27.08
AT1G07128	60.58
AT1G07130	62.58
AT1G07135	392.50
AT1G07140	3464.50
AT1G07150	49
AT1G07160	15
AT1G07170	264
AT1G07175	0
AT1G07180	300
AT1G07190	0
AT1G07200	709.50
AT1G07210	671
AT1G07220	537.50
AT1G07230	873
AT1G07240	579
AT1G07250	809
AT1G07260	29
AT1G07270	29
AT1G07280	1892
AT1G07290	33
AT1G07300	50
AT1G07310	719
AT1G07320	8601.25
AT1G07330	1
AT1G07340	0
AT1G07350	502.50
AT1G07360	840
AT1G07370	293
AT1G07380	162
AT1G07390	81
AT1G07400	33.50
AT1G07410	38
AT1G07420	687.00
AT1G07430	56.50
AT1G07440	894.50
AT1G07450	9
AT1G07460	0
AT1G07470	602.25
AT1G07473	4.50
AT1G07476	8
AT1G07480	535.25
AT1G07485	27.50
AT1G07490	27.50
AT1G07500	1
AT1G07510	745.83
AT1G07520	234
AT1G07530	677.50
AT1G07540	0
AT1G07550	0
AT1G07560	0
AT1G07570	205
AT1G07580	0
AT1G07590	2871.92
AT1G07600	2415.92
AT1G07610	243.50
AT1G07615	116
AT1G07620	307.75
AT1G07630	738
AT1G07640	541.58
AT1G07645	0.50
AT1G07650	1919.00
AT1G07660	293.50
AT1G07670	1620
AT1G07680	0
AT1G07690	0
AT1G07700	1251.00
AT1G07702	45
AT1G07705	566
AT1G07710	14.83
AT1G07720	1998.50
AT1G07725	117.67
AT1G07728	117.67
AT1G07730	23.83
AT1G07740	82.33
AT1G07745	78.83
AT1G07747	1
AT1G07750	430
AT1G07760	0
AT1G07770	2870.17
AT1G07780	560.67
AT1G07790	714.83
AT1G07795	0
AT1G07810	951.50
AT1G07820	1060.50
AT1G07830	189.50
AT1G07840	297
AT1G07850	0.50
AT1G07860	0
AT1G07870	326.33
AT1G07880	71
AT1G07885	6
AT1G07890	18679.92
AT1G07900	211
AT1G07901	40
AT1G07910	382.50
AT1G07920	10292.74
AT1G07930	9667.33
AT1G07940	8228.68
AT1G07950	262.50
AT1G07960	564
AT1G07970	282.50
AT1G07980	252.50
AT1G07985	0
AT1G07990	903.00
AT1G08000	221
AT1G08005	2
AT1G08010	296
AT1G08030	281.50
AT1G08032	0
AT1G08035	4
AT1G08040	513.00
AT1G08050	765.33
AT1G08060	411.50
AT1G08065	0
AT1G08070	31
AT1G08080	5
AT1G08090	0
AT1G08100	0
AT1G08110	1576.17
AT1G08115	0
AT1G08120	4
AT1G08125	248.50
AT1G08130	503
AT1G08135	0
AT1G08140	0
AT1G08150	0
AT1G08160	91
AT1G08165	16
AT1G08170	1
AT1G08180	98
AT1G08190	2220.50
AT1G08200	4121.17
AT1G08210	288
AT1G08220	98.50
AT1G08230	155
AT1G08240	0
AT1G08250	293
AT1G08260	269
AT1G08270	36
AT1G08280	128
AT1G08290	46
AT1G08300	54
AT1G08310	16
AT1G08315	242
AT1G08320	5
AT1G08340	12.50
AT1G08350	212.50
AT1G08360	3216.08
AT1G08370	591.25
AT1G08380	19979.92
AT1G08390	82
AT1G08400	112
AT1G08410	286
AT1G08420	1587.17
AT1G08430	0
AT1G08440	4
AT1G08450	10412.03
AT1G08460	610.50
AT1G08465	308
AT1G08470	493.50
AT1G08480	1307
AT1G08490	1101
AT1G08500	63
AT1G08510	2492.50
AT1G08520	4909.33
AT1G08530	458
AT1G08540	2312.50
AT1G08550	1769
AT1G08560	275
AT1G08570	1619.50
AT1G08580	564
AT1G08590	74
AT1G08592	42
AT1G08600	516
AT1G08610	99
AT1G08620	638
AT1G08630	3.50
AT1G08640	2159.00
AT1G08650	1916.50
AT1G08660	489
AT1G08670	0
AT1G08680	637
AT1G08695	0
AT1G08700	535.50
AT1G08710	123.50
AT1G08720	652.50
AT1G08730	13.50
AT1G08750	275
AT1G08760	286
AT1G08770	374.50
AT1G08780	306.50
AT1G08790	0
AT1G08800	363
AT1G08810	115.50
AT1G08820	731
AT1G08830	6801.42
AT1G08840	707.92
AT1G08845	98.50
AT1G08860	22
AT1G08870	0
AT1G08880	1752
AT1G08890	364
AT1G08900	642.50
AT1G08910	368
AT1G08920	418
AT1G08930	4200.00
AT1G08940	178
AT1G08950	0
AT1G08960	239.50
AT1G08970	810.00
AT1G08980	1543
AT1G08985	0
AT1G08990	0
AT1G09000	58
AT1G09010	1233
AT1G09020	1180.42
AT1G09026	0
AT1G09030	0
AT1G09040	74.25
AT1G09050	117.75
AT1G09060	751.25
AT1G09070	5370.42
AT1G09080	957.33
AT1G09090	12.50
AT1G09100	752.50
AT1G09110	0
AT1G09130	3708.17
AT1G09140	1126.50
AT1G09150	589
AT1G09155	0
AT1G09157	0
AT1G09160	593.50
AT1G09170	48
AT1G09176	0
AT1G09180	36.50
AT1G09190	81.83
AT1G09195	222
AT1G09200	1828.50
AT1G09210	6239.67
AT1G09220	39.50
AT1G09230	196.50
AT1G09240	28.50
AT1G09245	0
AT1G09250	460.50
AT1G09260	0
AT1G09270	1091.00
AT1G09280	300
AT1G09290	174.50
AT1G09300	232.50
AT1G09310	12019.67
AT1G09320	101
AT1G09330	725.50
AT1G09340	17559.33
AT1G09350	16.50
AT1G09360	0
AT1G09370	2
AT1G09380	8
AT1G09390	139.50
AT1G09400	18.50
AT1G09410	20
AT1G09415	277.00
AT1G09420	96.00
AT1G09421	46.00
AT1G09430	1929.50
AT1G09440	131.50
AT1G09450	35.50
AT1G09460	32
AT1G09470	82
AT1G09480	39
AT1G09483	0
AT1G09490	655
AT1G09500	100.50
AT1G09510	1.50
AT1G09520	306
AT1G09530	300
AT1G09540	18
AT1G09550	0
AT1G09560	2927
AT1G09570	987.50
AT1G09575	36
AT1G09580	184.50
AT1G09590	2726
AT1G09600	24
AT1G09610	18.67
AT1G09620	2514.17
AT1G09625	0
AT1G09630	343
AT1G09640	4487.33
AT1G09645	435.50
AT1G09650	1
AT1G09660	632.50
AT1G09665	0
AT1G09680	74
AT1G09690	4679.58
AT1G09700	211.00
AT1G09710	116
AT1G09720	0
AT1G09730	582
AT1G09740	342
AT1G09750	3443.33
AT1G09760	772.83
AT1G09770	1574.50
AT1G09780	3537
AT1G09790	0
AT1G09794	82
AT1G09795	2216.50
AT1G09800	76
AT1G09810	205
AT1G09812	9
AT1G09815	338.50
AT1G09820	96.50
AT1G09830	956
AT1G09840	848.50
AT1G09850	764
AT1G09860	27.50
AT1G09870	627
AT1G09880	2
AT1G09890	9
AT1G09900	358
AT1G09910	403.50
AT1G09920	631
AT1G09930	21
AT1G09932	1453.50
AT1G09935	25
AT1G09940	633
AT1G09950	67.50
AT1G09960	102
AT1G09970	5425.50
AT1G09980	660.50
AT1G09995	71.00
AT1G10000	30
AT1G10010	0
AT1G10020	906.50
AT1G10030	171.50
AT1G10040	229.50
AT1G10050	484
AT1G10060	181.50
AT1G10070	139.50
AT1G10090	778.50
AT1G10095	101.50
AT1G10100	0.50
AT1G10110	11
AT1G10120	388
AT1G10130	1008
AT1G10140	163
AT1G10150	314.83
AT1G10155	3
AT1G10170	1071.50
AT1G10180	335
AT1G10190	0
AT1G10200	1808.50
AT1G10210	235
AT1G10220	5
AT1G10230	165
AT1G10240	143
AT1G10250	0
AT1G10270	249
AT1G10280	258
AT1G10290	2601.00
AT1G10300	1.50
AT1G10310	508.33
AT1G10320	188
AT1G10330	38
AT1G10340	686
AT1G10350	351
AT1G10360	725.50
AT1G10370	227
AT1G10380	105
AT1G10385	3
AT1G10390	1533
AT1G10400	4
AT1G10410	948
AT1G10417	42
AT1G10430	738.50
AT1G10440	0
AT1G10450	376
AT1G10455	0
AT1G10460	29
AT1G10470	2392
AT1G10480	3
AT1G10490	809.83
AT1G10500	1170.83
AT1G10510	1173.00
AT1G10520	30.50
AT1G10522	549.75
AT1G10530	11.25
AT1G10540	11
AT1G10550	56
AT1G10560	44
AT1G10570	396.83
AT1G10580	601.83
AT1G10585	8
AT1G10586	0
AT1G10588	0
AT1G10590	2124.25
AT1G10600	323.75
AT1G10610	101.50
AT1G10620	0
AT1G10630	1421.00
AT1G10640	170
AT1G10650	282.50
AT1G10652	0
AT1G10657	111
AT1G10660	845.50
AT1G10670	3692
AT1G10680	0
AT1G10682	208
AT1G10690	80
AT1G10700	657
AT1G10710	4
AT1G10717	0
AT1G10720	411.25
AT1G10730	179
AT1G10740	582.50
AT1G10745	0
AT1G10747	0
AT1G10750	43
AT1G10760	7332.25
AT1G10770	5
AT1G10780	60.50
AT1G10790	7
AT1G10800	1
AT1G10810	11.50
AT1G10820	306.50
AT1G10830	722.50
AT1G10840	1778.50
AT1G10850	375.67
AT1G10865	393.17
AT1G10870	393
AT1G10880	0
AT1G10890	682
AT1G10900	473
AT1G10910	621.50
AT1G10920	309
AT1G10930	339
AT1G10940	1605
AT1G10950	2366.50
AT1G10960	7363.50
AT1G10970	137
AT1G10980	14
AT1G10990	113.50
AT1G11000	110
AT1G11010	0
AT1G11020	271
AT1G11030	0
AT1G11040	0
AT1G11050	441
AT1G11060	318.50
AT1G11070	6
AT1G11080	90
AT1G11090	248.50
AT1G11100	45.50
AT1G11110	1
AT1G11112	22
AT1G11120	25
AT1G11125	6
AT1G11130	384
AT1G11145	0
AT1G11160	32
AT1G11170	45.50
AT1G11175	154
AT1G11180	177.50
AT1G11185	6
AT1G11190	40
AT1G11200	486
AT1G11210	408.50
AT1G11220	39
AT1G11230	0
AT1G11240	372.50
AT1G11250	0
AT1G11260	1786.50
AT1G11270	77
AT1G11280	344
AT1G11290	167.50
AT1G11300	566.50
AT1G11310	6001.50
AT1G11320	84
AT1G11330	2573
AT1G11340	48
AT1G11350	821
AT1G11360	495
AT1G11362	2
AT1G11370	0
AT1G11380	102
AT1G11390	392
AT1G11400	273
AT1G11410	407.50
AT1G11420	40
AT1G11430	2642.00
AT1G11440	159.50
AT1G11450	42
AT1G11460	6
AT1G11470	0
AT1G11475	422.00
AT1G11480	1052
AT1G11490	3
AT1G11500	9
AT1G11510	0
AT1G11520	0
AT1G11530	453
AT1G11540	25
AT1G11545	466.50
AT1G11550	0
AT1G11560	0
AT1G11570	18
AT1G11572	0
AT1G11580	373.50
AT1G11590	3
AT1G11592	147.17
AT1G11593	0
AT1G11600	259
AT1G11608	0
AT1G11610	0
AT1G11620	0
AT1G11630	156
AT1G11640	0
AT1G11650	4753.00
AT1G11655	0
AT1G11660	798
AT1G11670	196
AT1G11680	1373
AT1G11684	0
AT1G11690	0
AT1G11700	235
AT1G11710	49.50
AT1G11720	926
AT1G11730	36
AT1G11735	3
AT1G11740	26
AT1G11750	2893.00
AT1G11755	271.50
AT1G11760	76.50
AT1G11765	0
AT1G11770	4
AT1G11780	354.00
AT1G11785	9
AT1G11790	925
AT1G11800	163
AT1G11810	4
AT1G11820	717
AT1G11840	5860.00
AT1G11850	319.75
AT1G11860	24492.33
AT1G11870	756
AT1G11880	146
AT1G11890	1463
AT1G11900	60.50
AT1G11905	329
AT1G11910	10444.77
AT1G11915	7
AT1G11920	0
AT1G11925	4
AT1G11930	1077
AT1G11940	157
AT1G11950	140.50
AT1G11960	662
AT1G11970	0
AT1G11980	0
AT1G11990	44
AT1G12000	1359
AT1G12010	25
AT1G12013	7
AT1G12015	0
AT1G12020	175
AT1G12030	5
AT1G12040	0
AT1G12050	936.50
AT1G12060	74
AT1G12064	0
AT1G12070	7
AT1G12080	263.50
AT1G12090	11628
AT1G12100	7
AT1G12110	1713.17
AT1G12120	936.83
AT1G12130	0.25
AT1G12140	1056.50
AT1G12150	31.50
AT1G12160	65.25
AT1G12170	0
AT1G12180	0
AT1G12190	0
AT1G12200	162
AT1G12210	200
AT1G12211	8.50
AT1G12220	355.50
AT1G12230	1200
AT1G12240	2773.50
AT1G12244	218
AT1G12250	1110.00
AT1G12260	16
AT1G12270	860.50
AT1G12280	252.50
AT1G12290	194
AT1G12294	1
AT1G12300	47
AT1G12310	1224
AT1G12320	153.50
AT1G12330	389.50
AT1G12340	3.75
AT1G12350	339.50
AT1G12360	1610
AT1G12370	71.50
AT1G12380	340.50
AT1G12390	243.25
AT1G12400	237.50
AT1G12410	3563.83
AT1G12411	0
AT1G12420	504.50
AT1G12423	0
AT1G12430	538
AT1G12440	1368
AT1G12450	152.50
AT1G12451	0
AT1G12460	432.50
AT1G12470	735.50
AT1G12480	74.50
AT1G12490	0
AT1G12500	818.50
AT1G12510	0
AT1G12520	2329.50
AT1G12530	175
AT1G12540	0
AT1G12550	110.50
AT1G12560	0
AT1G12570	190.50
AT1G12580	815.50
AT1G12590	0
AT1G12600	7
AT1G12610	98
AT1G12620	107.33
AT1G12630	0
AT1G12640	846
AT1G12650	375
AT1G12660	0
AT1G12663	0
AT1G12665	0
AT1G12672	12
AT1G12680	311.50
AT1G12700	71
AT1G12710	401.00
AT1G12730	135
AT1G12740	6
AT1G12750	394
AT1G12760	1335.83
AT1G12770	1087
AT1G12775	76
AT1G12780	745.50
AT1G12790	55.50
AT1G12800	4069
AT1G12805	2
AT1G12810	467.50
AT1G12820	789
AT1G12830	216
AT1G12840	3953.17
AT1G12845	169
AT1G12850	915.33
AT1G12855	0
AT1G12860	607
AT1G12870	0
AT1G12880	157.50
AT1G12890	3
AT1G12900	29635.00
AT1G12910	463.50
AT1G12920	1414
AT1G12930	444.50
AT1G12938	0
AT1G12940	9
AT1G12950	7.50
AT1G12960	0
AT1G12970	169
AT1G12980	0
AT1G12990	1179.83
AT1G13000	668
AT1G13010	0
AT1G13020	992
AT1G13030	133
AT1G13040	48
AT1G13050	43
AT1G13060	2336.50
AT1G13080	300
AT1G13090	1413.50
AT1G13100	205.50
AT1G13110	2484.50
AT1G13120	304
AT1G13130	10
AT1G13140	3
AT1G13150	30
AT1G13160	477.50
AT1G13170	636
AT1G13180	329
AT1G13190	682
AT1G13195	169
AT1G13200	0.33
AT1G13210	3249.25
AT1G13220	238
AT1G13230	5
AT1G13240	0
AT1G13245	554
AT1G13250	361
AT1G13260	1378.17
AT1G13270	2216.50
AT1G13280	874.50
AT1G13290	0
AT1G13300	16
AT1G13310	58
AT1G13320	1388
AT1G13330	246.50
AT1G13340	1081.50
AT1G13350	500.50
AT1G13360	1356
AT1G13370	8
AT1G13380	474
AT1G13390	563.50
AT1G13400	2
AT1G13410	61
AT1G13420	12
AT1G13430	10
AT1G13440	19084.25
AT1G13448	24.50
AT1G13450	417.83
